585 37 0 3556 -5 1814 4256 2442 3211 769 2583 3576 2807 1814 4256 2442 3211 769 2583 3576 2807 1814 4256 2442 3211 769 2583 3576 2807 1814 4256 2442 3211 769 2583 3576 2807 1814 4256 2442 1370 11 0.010520762999999933
661 37 0 3645 -3 1367 0 -2 -5 1367 -3 3645 0 1367 -5 -2 0 3645 -3 1367 0 -2 -5 1367 -3 3645 0 1367 -5 -2 0 3645 -3 1367 0 -2 -5 1367 -3 3645 1370 14 0.010288378000000042
724 37 -151 5585 3896 5420 6206 6362 5576 5603 5447 6233 6206 6362 5576 5603 5447 6233 6206 6362 5576 5603 5447 6233 6206 6362 5576 5603 5447 6233 6206 6362 5576 5603 5447 6233 6206 6362 5576 5603 1370 10 0.009811589999999981
737 37 0 7120 -1 2328 4553 6114 3889 4770 5191 4310 3889 6114 4553 5907 6788 5434 5855 6203 5782 5434 6788 5907 4553 6114 3889 4770 5191 4310 3889 6114 4553 5907 6788 5434 5855 6203 5782 5434 1370 22 0.009776570999999956
1019 37 0 2817 -6 1537 0 1640 -6 1537 -6 2817 0 1640 -6 1537 0 2817 -6 1537 -6 1640 0 2817 -6 1537 0 1640 -6 1537 -6 2817 0 1640 -6 1537 0 2817 -6 1537 1370 13 0.009709332999999987
1024 37 0 5450 -11 1118 3466 3882 2764 2348 3466 1118 1534 3882 3466 2348 2764 3882 1534 1118 3466 3882 2764 2348 3466 1118 1534 3882 3466 2348 2764 3882 1534 1118 3466 3882 2764 2348 3466 1118 1370 17 0.009794083999999925
1227 37 0 5091 -3 2090 4259 5546 6375 5088 5880 5051 4259 5546 6375 5088 5880 5051 4259 5546 6375 5088 5880 5051 4259 5546 6375 5088 5880 5051 4259 5546 6375 5088 5880 5051 4259 5546 6375 5088 1370 10 0.010313071000000118
1242 37 2260 4198 4656 4761 4303 4198 2260 3397 3855 4215 4320 3960 3855 3893 3435 3540 3502 3960 4320 4215 3855 3960 3502 3862 4320 4215 3855 3960 4320 3862 3757 4215 4320 3960 3855 4215 3757 3862 1370 29 0.009827290999999905
1273 37 0 6332 -3 1599 3665 2066 0 6332 -3 1599 3665 2066 0 6332 -3 1599 3665 2066 0 6332 -3 1599 3665 2066 0 6332 -3 1599 3665 2066 0 6332 -3 1599 3665 2066 0 6332 1370 6 0.00989866500000014
1318 37 0 4941 -5 367 2850 2483 3310 827 3070 2243 2610 367 2850 2483 3310 827 3070 2243 2610 367 2850 2483 3310 827 3070 2243 2610 367 2850 2483 3310 827 3070 2243 2610 367 2850 2483 1370 11 0.009858389000000134
