1394 35 -170 3523 5987 4826 6759 4397 6740 7901 5968 7154 5993 4807 6740 4276 6096 7282 5462 7235 6049 7210 5437 7901 6740 4397 6759 4826 5987 3625 5968 7901 5558 7707 9527 10713 9552 8366 1226 35 0.009393555999999803
1453 35 0 2464 -26 1068 0 1653 -23 1068 -7 81 0 1489 -17 1068 -20 1148 0 2464 -26 1068 0 1653 -23 1068 -7 81 0 1489 -17 1068 -20 1148 0 2464 -26 1068 1226 16 0.00914342300000004
1482 35 0 6828 -10 2207 4573 6588 6768 4753 4573 2366 4381 6588 4222 4402 6768 4561 4381 2015 4222 2207 4573 6588 6768 4753 4573 2366 4381 6588 4222 4402 6768 4561 4381 2015 4222 2207 1226 19 0.009187910000000077
1513 35 0 5434 -5 1389 3859 3868 2479 2470 3859 -2 2928 2470 0 1389 2075 686 0 5434 -5 1389 3859 3868 2479 2470 3859 -2 2928 2470 0 1389 2075 686 0 5434 -5 1389 1226 16 0.009644812999999974
1521 35 0 9557 -2 13 2458 4740 6375 7945 7932 6362 7531 7544 6375 6927 6914 6362 6837 6878 6403 6416 6375 7945 7932 6362 7531 7544 6375 6927 6914 6362 6837 6878 6403 6416 6375 7945 1226 20 0.009333647999999917
1548 35 0 5947 -2 2248 3757 4703 3194 3605 2659 4168 3757 4328 2819 3230 2659 3030 2619 4128 3757 4703 3194 3605 2659 4168 3757 4328 2819 3230 2659 3030 2619 4128 3757 4703 3194 3605 1226 18 0.009156213000000246
1589 35 0 3085 -1 774 2574 1800 0 796 1570 774 0 -1 -2 774 -7 -6 0 3085 -1 774 2574 1800 0 796 1570 774 0 -1 -2 774 -7 -6 0 3085 -1 774 1226 16 0.009123793999999963
1638 35 0 5972 -1 1615 3356 4410 2795 1741 3356 -3 -1 -4 2669 4410 -6 -3 -2 5972 0 1741 2795 4410 3356 1741 -2 -5 2795 1054 2669 4410 -6 -3 3356 1615 2669 -4 1226 32 0.009175162999999875
1645 35 -308 3689 5266 4437 5366 5706 4777 4437 3337 5584 6513 6853 5924 5584 4007 5889 4129 6424 7353 5471 7053 6124 4542 6424 6764 4882 6459 7388 7048 6119 7219 5642 6571 6911 5982 5642 1226 35 0.010167228999999889
1801 35 0 2776 -6 228 2195 1967 0 228 -2 85 0 -3 -9 228 -14 -8 0 2776 -6 228 2195 1967 0 228 -2 85 0 -3 -9 228 -14 -8 0 2776 -6 228 1226 16 0.009222419999999953
1813 35 0 2861 -17 520 2609 2089 0 673 1193 520 561 41 0 520 -26 -9 0 2861 -17 520 2609 2089 0 673 1193 520 561 41 0 520 -26 -9 0 2861 -17 520 1226 16 0.009325538000000133
1839 35 0 4889 -4 1135 3376 2241 0 1135 1641 506 0 -15 -19 1135 -20 -16 0 4889 -4 1135 3376 2241 0 1135 1641 506 0 -15 -19 1135 -20 -16 0 4889 -4 1135 1226 16 0.009287367999999852
1843 35 0 6428 -2 1655 3925 4798 3143 2270 4487 2217 3872 5479 6352 4745 5718 4845 3872 4907 3252 4125 3090 4745 3872 2217 4487 2270 3925 4798 3143 2270 0 6428 -2 1655 3925 -1 1226 28 0.010197734000000125
1955 35 0 2939 -5 726 2079 2925 2199 2816 1970 2696 2079 2558 1832 1353 2199 846 1621 2347 1572 2925 2199 2816 1970 2696 2079 2925 -3 2816 1463 2189 2668 2051 1572 2925 2199 2816 1226 26 0.010512389999999927
