41 4 -52 0 10120 -13 2024 0 -141 -154 2024 -65 -52 -117 10120 -206 -141 -258 -52 65 16 0.0007828549999999712
45 4 -192 2995 4966 3722 1971 3215 4966 -298 -188 3215 1244 2995 1751 3722 -216 -106 5446 65 16 0.0007756089999999549
46 4 -166 -22 3611 0 1107 1792 685 0 -28 -50 685 -22 -52 1792 -80 -50 -166 65 16 0.0007780459999999767
47 4 -248 3405 2403 4600 2197 3199 1002 3405 -57 4600 -156 -59 6193 0 2403 -97 6193 65 16 0.0007669079999998996
48 4 -118 -2 9277 0 2320 3966 1646 0 -54 -56 2320 -2 -13 3966 -67 -56 -118 65 16 0.0007903979999999144
50 4 -1 177150 0 2362 2717 355 0 -67 -68 2362 -1 -44 2717 -111 -68 -143 -1 65 16 0.0007749370000000866
53 4 -110 4212 2244 0 4404 -2 1968 4212 -148 -40 1968 0 -38 -40 -252 -2 -110 65 16 0.0007760349999998972
54 4 -230 -21 523 0 1681 -65 523 -14 244 0 17 -21 -179 -14 -223 -65 -230 65 16 0.0007551350000001289
55 4 -188 3260 2743 1934 2451 3260 1326 809 2743 -187 -79 4126 0 1934 -108 4126 -1 65 16 0.0007747669999997875
56 4 -269 2986 1764 2137 373 1595 1222 2986 -18 2137 -152 -18 3541 0 1764 -134 3541 65 16 0.0007645069999999698
58 4 2090 0 3493 -70 2090 -71 -1 0 -107 -177 2090 -530 0 -530 3493 -118 -1 65 14 0.0007991459999998618
59 4 -117 3526 4009 2395 1912 3526 1614 2097 4009 -300 -117 -36 7223 0 1912 -81 7223 65 16 0.0007629899999999079
62 4 -144 2537 1916 0 3508 -57 621 2537 -226 -57 -297 1090 621 0 469 1090 -144 65 16 0.0007681660000000701
66 4 -145 -12 2245 4371 2126 2376 250 0 6943 -13 2126 0 2245 -43 6943 -102 250 65 16 0.0007759839999998963
67 4 -92 3162 2065 2440 375 1472 1097 3162 -358 -174 4096 0 2065 -184 4096 -99 375 65 16 0.000776195000000035
75 4 -144 1020 2904 2566 1884 2222 2904 -214 -106 2222 338 1020 682 2566 -178 -70 6970 65 16 0.000785823999999824
77 4 -233 5098 3949 2417 3566 5098 2681 1532 3949 -224 -88 6737 0 2417 -136 6737 -9 65 16 0.0007692480000001112
78 4 -359 2267 3681 3590 2176 2267 91 1505 3681 -393 -178 1505 1414 3590 -249 -34 4362 65 16 0.0007588679999999126
80 4 -50 1548 0 8816 -23 1548 -61 -38 0 -27 -50 -181 -23 -192 -61 -219 -50 65 16 0.0007793630000001439
84 4 0 2439 -33 1872 0 -46 -79 1872 -139 -106 0 -315 2439 -89 -46 -195 -106 65 15 0.000786541000000085
86 4 -240 -66 8430 0 1958 2533 575 0 -19 -55 1958 -36 8430 -174 -19 -85 575 65 16 0.0007797070000001849
87 4 -255 -29 2283 0 3770 -115 767 0 -8 -123 767 -29 -247 -115 -341 -123 -255 65 16 0.0007624639999999072
89 4 -367 -123 570 0 1354 -140 141 0 927 -63 141 -123 -290 -63 -307 -140 -367 65 16 0.0007748199999999539
93 4 -227 -23 0 4864 -31 1160 0 -74 -105 1160 -54 -23 -153 4864 -204 -74 -227 65 16 0.0007761100000001075
94 4 -177 1910 1211 1353 142 841 699 1910 -16 1353 -218 -83 2188 0 1211 -135 2188 65 16 0.0007922469999999127
96 4 -257 1428 2751 2558 1323 1516 2751 -420 -257 -107 3538 0 1323 -163 3538 -150 193 65 16 0.0007338800000000756
97 4 -239 -18 4286 0 2115 3901 1786 0 -65 -83 2115 -18 -83 3901 -148 -83 -239 65 16 0.0007320269999999685
